entity_id,legal_name,dba_name,city,state,zip,phone,email,website,cert_no,shop_size_class,aircraft_worked_on,profile_archetype,airport_icao,airport_distance_band,overall_confidence,outreach_tier,has_phone,has_email,has_website,website_fit_score,website_fit_rationale,erp_fit_score,erp_fit_rationale,corridor_ebis_likelihood,cross_sell_score,data_source,last_updated,is_enterprise,multi_location_group,domain_normalized
ZZ2R363L,AVIONICS & MAINTENANCE WEST INC,,GOLETA,CA,93117,8053244400,ookpysh@amw.aero,,ZZ2R363L,unknown,unknown,avionics,,unknown,1.0,A,yes,yes,no,80,no_website → base 40; reachable (+10); specialty keywords (+10); high_confidence (+5),65,base 10; reachable (+10); specialty keywords (+15); high_confidence (+5),unknown,72.5,faa-facility-ca,2026-03-09,no,,amw.aero
8H2R178D,BLAIR HELICOPTER MAINTENANCE INC,,LEMOORE,CA,93245,5599241276,mmarquez@blairsvcs.com,,8H2R178D,unknown,unknown,helicopter-mro,,unknown,1.0,A,yes,yes,no,80,no_website → base 40; reachable (+10); high_confidence (+5),65,base 10; reachable (+10); high_confidence (+5),unknown,72.5,faa-facility-ca,2026-03-09,no,,blairsvcs.com
Y2MR496Y,"GLOBAL ENGINE MAINTENANCE, LLC",,DORAL,FL,33172,3057170951,andres.a@global-engine.com,,Y2MR496Y,unknown,unknown,engine-specialist,,unknown,1.0,A,yes,yes,no,80,no_website → base 40; reachable (+10); specialty keywords (+10); high_confidence (+5),65,base 10; reachable (+10); specialty keywords (+15); high_confidence (+5),unknown,72.5,faa-facility-fl,2026-03-09,no,,global-engine.com
V7OR765X,AERO INTERIOR MAINTENANCE INC,,COLWICH,KS,67030,3166807587,rtrujillo@aerointeriormaintenance.com,,V7OR765X,unknown,unknown,interior-specialist,,unknown,1.0,A,yes,yes,no,80,no_website → base 40; reachable (+10); specialty keywords (+10); high_confidence (+5),65,base 10; reachable (+10); specialty keywords (+15); high_confidence (+5),unknown,72.5,faa-facility-ks,2026-03-09,no,,aerointeriormaintenance.com
7MVR170C,MODERN AVIONICS AND MAINTENANCE INC,,MANSFIELD,OH,44903,4195221212,acrowl@modernavionicsinc.net,,7MVR170C,unknown,unknown,avionics,,unknown,1.0,A,yes,yes,no,80,no_website → base 40; reachable (+10); specialty keywords (+10); high_confidence (+5),65,base 10; reachable (+10); specialty keywords (+15); high_confidence (+5),unknown,72.5,faa-facility-oh,2026-03-09,no,,modernavionicsinc.net
ABXR001A,AIRBORNE MAINTENANCE & ENGINEERING SERVICES INC,,WILMINGTON,OH,45177,9373825591,walter.mclarty@airbornemx.com,,ABXR001A,unknown,unknown,engine-specialist,,unknown,1.0,A,yes,yes,no,80,no_website → base 40; reachable (+10); specialty keywords (+10); high_confidence (+5),65,base 10; reachable (+10); specialty keywords (+15); high_confidence (+5),unknown,72.5,faa-facility-oh,2026-03-09,no,airbornemx.com,airbornemx.com
TBWR469X,TURBINE AIRCRAFT SERVICES LLC,,BETHANY,OK,73008,4054918995,tas@tasokc.com,,TBWR469X,unknown,unknown,engine-specialist,,unknown,1.0,A,yes,yes,no,80,no_website → base 40; reachable (+10); specialty keywords (+10); full-service keywords (+15); high_confidence (+5),65,base 10; reachable (+10); specialty keywords (+15); full-service keywords (+25); high_confidence (+5),unknown,72.5,faa-facility-ok,2026-03-09,no,,tasokc.com
X5ER177Y,ELITE TURBINE MAINTENANCE LLC,,ADDISON,TX,75001,9727137707,jknight@eliteturbinemx.com>;,,X5ER177Y,unknown,unknown,engine-specialist,,unknown,1.0,A,yes,yes,no,80,no_website → base 40; reachable (+10); specialty keywords (+10); high_confidence (+5),65,base 10; reachable (+10); specialty keywords (+15); high_confidence (+5),unknown,72.5,faa-facility-tx,2026-03-09,no,,eliteturbinemx.com>;
28CR868B,CAL-AIR AVIATION SERVICES INC,,SAN JOSE,CA,95110,5106881901,calairaviation@yahoo.com,,28CR868B,small,General aviation – light aircraft,general-mro,,unknown,1.0,A,yes,yes,no,75,has_website → base 10; reachable (+10); full-service keywords (+15); shop_size=small (+10); high_confidence (+5),60,base 10; reachable (+10); full-service keywords (+25); shop_size=small (+15); high_confidence (+5),unknown,67.5,faa-facility-ca,2026-03-09,no,,none
9PFR470B,PACIFIC AIRCRAFT MAINTENANCE,,SAN DIEGO,CA,92101,6193598261,iackerson@flightlinemx.com,,9PFR470B,small,General aviation – piston/turboprop,general-mro,,unknown,1.0,A,yes,yes,no,75,has_website → base 10; reachable (+10); full-service keywords (+15); shop_size=small (+10); high_confidence (+5),60,base 10; reachable (+10); full-service keywords (+25); shop_size=small (+15); high_confidence (+5),unknown,67.5,faa-facility-ca,2026-03-09,no,,none
7XMR178C,"AIRCRAFT MAINTENANCE PARTNERS, LLC",,MESA,AZ,85212,8174037083,james.hicks@aerocheckmro.com,,7XMR178C,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,70,no_website → base 40; reachable (+10); full-service keywords (+15); high_confidence (+5),50,base 10; reachable (+10); full-service keywords (+25); high_confidence (+5),unknown,60.0,faa-facility-az,2026-03-09,no,,aerocheckmro.com
X0FR185J,FALCON  AVIATION SERVICES INC,,CHANDLER,AZ,85286,4808320704,jhettling@falconaviationaz.com,,X0FR185J,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,70,no_website → base 40; reachable (+10); full-service keywords (+15); high_confidence (+5),50,base 10; reachable (+10); full-service keywords (+25); high_confidence (+5),unknown,60.0,faa-facility-az,2026-03-09,no,,falconaviationaz.com
816R054D,STOGS AIRCRAFT SERVICES LLC,,SAHUARITA,AZ,85629,5204057330,stogsair@gmail.com,,816R054D,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,70,no_website → base 40; reachable (+10); full-service keywords (+15); high_confidence (+5),50,base 10; reachable (+10); full-service keywords (+25); high_confidence (+5),unknown,60.0,faa-facility-az,2026-03-09,no,,
5IQR557D,INTECH AVIATION SERVICES LLC,,TUCSON,AZ,85711,5207303855,carllund@cox.net,,5IQR557D,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,70,no_website → base 40; reachable (+10); full-service keywords (+15); high_confidence (+5),50,base 10; reachable (+10); full-service keywords (+25); high_confidence (+5),unknown,60.0,faa-facility-az,2026-03-09,no,,
ERK2675D,ASCENT AVIATION SERVICES LLC,ASCENT AVIATION SERVICES,TUCSON,AZ,85756,5206165157,tparrish@ascentmro.com,,ERK2675D,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,70,no_website → base 40; reachable (+10); full-service keywords (+15); high_confidence (+5),50,base 10; reachable (+10); full-service keywords (+25); high_confidence (+5),unknown,60.0,faa-facility-az,2026-03-09,no,ascentmro.com,ascentmro.com
3R6R638D,"V1MRO SOLUTIONS , LLC",,MESA,AZ,85212,9093787021 EXT. 340,esantana@v1mro.com,,3R6R638D,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,70,no_website → base 40; reachable (+10); full-service keywords (+15); high_confidence (+5),50,base 10; reachable (+10); full-service keywords (+25); high_confidence (+5),unknown,60.0,faa-facility-az,2026-03-09,no,,v1mro.com
4GNR229D,"GLENDALE BLACKHAWK MAINTENANCE, LLC",,GLENDALE,AZ,85307,6238773333,john.fisher@blackhawk.aero,,4GNR229D,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,70,no_website → base 40; reachable (+10); high_confidence (+5),50,base 10; reachable (+10); high_confidence (+5),unknown,60.0,faa-facility-az,2026-03-09,no,,blackhawk.aero
A1NR664E,PINNACLE AVIATION MAINTENANCE,,MESA,AZ,85215,7864494695,ctp@pinnacleaviation.com,,A1NR664E,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,70,no_website → base 40; reachable (+10); high_confidence (+5),50,base 10; reachable (+10); high_confidence (+5),unknown,60.0,faa-facility-az,2026-03-09,no,,pinnacleaviation.com
8F0R677D,FOX AVIATION SERVICES LLC,,GLENDALE,AZ,85307,6028599411,steve@flyglendale.com,,8F0R677D,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,70,no_website → base 40; reachable (+10); full-service keywords (+15); high_confidence (+5),50,base 10; reachable (+10); full-service keywords (+25); high_confidence (+5),unknown,60.0,faa-facility-az,2026-03-09,no,,flyglendale.com
U8SR971J,"VSE AVIATION SERVICES, CO.",,MONTEBELLO,CA,90640,3237276000,alec.azarian@desser.com,,U8SR971J,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,70,no_website → base 40; reachable (+10); full-service keywords (+15); high_confidence (+5),50,base 10; reachable (+10); full-service keywords (+25); high_confidence (+5),unknown,60.0,faa-facility-ca,2026-03-09,no,,desser.com
8EJR734C,EXECUTIVE JET MAINTENANCE INC,,SAN BERNARDINO,CA,92408,9492659590,jesse.mcbrayer@ejmmx.com,,8EJR734C,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,70,no_website → base 40; reachable (+10); high_confidence (+5),50,base 10; reachable (+10); high_confidence (+5),unknown,60.0,faa-facility-ca,2026-03-09,no,,ejmmx.com
